czas,Wroclaw - Bialy Dunajec,Wroclaw - Krakow,Krakow - Bialy Dunajec
"17.08, 4:32",253,167,81
"17.08, 4:42",252,167,81
"17.08, 4:52",252,167,82
"17.08, 5:03",256,169,82
"17.08, 5:13",256,168,82
"17.08, 5:24",257,168,82
"17.08, 5:34",257,168,83
"17.08, 5:44",257,168,83
"17.08, 5:55",256,167,84
"17.08, 6:05",260,168,85
"17.08, 6:16",260,168,85
"17.08, 6:26",259,168,86
"17.08, 6:36",259,169,87
"17.08, 6:47",263,172,89
"17.08, 6:57",262,173,88
"17.08, 7:07",262,172,86
"17.08, 7:18",263,175,89
"17.08, 7:28",264,176,90
"17.08, 7:38",264,176,91
"17.08, 7:49",265,177,90
"17.08, 7:59",264,175,90
"17.08, 8:10",264,175,90
"17.08, 8:20",265,177,90
"17.08, 8:30",267,178,91
"17.08, 8:42",268,179,91
"17.08, 8:52",266,178,91
"17.08, 9:03",267,179,92
"17.08, 9:14",266,178,91
"17.08, 9:31",267,177,96
"17.08, 9:41",263,176,96
"17.08, 9:52",265,177,97
"17.08, 10:02",267,179,99
"17.08, 10:13",268,181,94
"17.08, 10:23",267,179,95
"17.08, 10:34",266,179,94
"17.08, 10:46",267,181,96
"17.08, 10:59",265,179,97
